,text,polarity Score,label
65,"cushion originote offline store gasihh beli online takut salah shade
",-7,Negative
66,"originote hyaluc serum diskon harga rp rp
",5,Positive
67,"list belanja skincare now watching originote senka facewash white clay moist ungu lupa nama facetology pancar wajah cahaya pesona lebaran
",-7,Negative
68,"originote suka infused niacinamide sii makeup pgn coba cushionny
",3,Positive
69,"retinolnya originote all in kandung niacinamidenya retinol dicombo niacinamide works sesuai banget harga affordable banget
",4,Positive
70,"kak originote shade
",0,Neutral
71,"urus orang habis cushion originote berfikir ntaran kali iya beli instaperfect
",1,Positive
72,"kakak originote charcoal ga
",0,Neutral
73,"originote pon fyp mesra pocket
",4,Positive
74,"rekomendasiin cushion oke banget originote bagus oksidasi cari shade sesuai kulit susah gapapa isi
",-9,Negative
75,"kak originote avail
",0,Neutral
76,"azarinee murah originote bagus
",2,Positive
77,"coba pakai vit c serum originote kak
",2,Positive
78,"kaget voucher diskon
",2,Positive
79,"habis checkout cushion originote terang warm moga sesuai iya tolong banget
",4,Positive
80,"kusam oily pakai skingame lambat serap lengket originote brightening malh kusam cosrx kusam komedoan pakai bentonn aloe tekstur gel ringan gampang serap isi banyaak banget suka
",-8,Negative
81,"congrats menang saldo orang menang dicoin micellar water originote kindly yaa claim hadiah terima kasih see in another hadiah
",8,Positive
82,"preloved micellar water originote nego tipis dom jogja checkout oren
",0,Neutral
83,"neng banget beneran mending beruntus pakai originote ga pakai gitu murah centella
",7,Positive
84,"coba beli cushion originote moga salah shade
",-1,Negative
85,"senin maret paket reseller alhamdulillah
",7,Positive
86,"originote best coba moistnya
",1,Positive
87,"pakai originote brightening beruntus full isi
",-4,Negative
88,"tutup tulis originote kak
",-5,Negative
89,"originote hyalurose micellar water micellar water ampuh banget bersihin skincare residu makeup gentle feelsnya kulit rasa lembab harga super affordable gede gin
",6,Positive
90,"cushion originote shade medium nuetral kirim kirim nego gapapa daripda pakai checkout gratong
",7,Positive
91,"originote emang cakep banget cuman bingung warna serum cepat banget ubah iya
",2,Positive
92,"eyelash serum originote lashboss iya
",0,Neutral
93,"loakjends sunscreen originote pakai nego tipis bolehh
",1,Positive
94,"originote moisturizer combo kode bekenmut laku produk originote minbel diskon
",2,Positive
95,"kak exfo pake avoskin ga moisnya pakai originote hijau
",4,Positive
96,"selldips abisin stok yu guyss micellar water originote facetology sisa pcs kpcs yu balas
",-12,Negative
97,"ngapus maskara bnb pakai apaa yaa pakai micellar water originote gabisaa masaa
",2,Positive
98,"originote
",0,Neutral
99,"msii pda penuh penuh krna pakai kali msi pda bersih yaa kecuali originote packaging uda jelek prelovedskincare prelovedskintific wtstheoriginote wtshadalabo
",-4,Negative
100,"pakai coba originote
",2,Positive
101,"cek originote dayc nighta bundle pcs hyaluc serum retinol serum harga rp dapat shopee shopeeid
",-1,Negative
102,"originote janji ajhh besok habis bar beli
",1,Positive
103,"ekspedisi emas checkout originote
",0,Neutral
104,"originote moiz ga kak
",0,Neutral
105,"originote ga nder
",0,Neutral
106,"pakai originote
",1,Positive
107,"titip kakak
",0,Neutral
108,"kakak pakai cushion originote shade
",1,Positive
109,"originote flash sale harga under klaim voucher toko gabung diskon live urut harga rendah cek halaman flash sale toko
",0,Neutral
110,"ysb avoskinn ssnya originote
",0,Neutral
111,"sumpah butuh banget lip serum originote sociolla iya allahh
",-7,Negative
112,"originote ga kak
",0,Neutral
113,"gapunya link livenya
",0,Neutral
114,"originote sea makeup masuk facetology acne calm damage kirim rembes kering sampe ga bocor
",-5,Negative
115,"originote suka banget
",3,Positive
116,"harga before cbdiskon facetology triplecare sunscreen tangerang pakai live disk shopee video wtb
",7,Positive
117,"originote true to skin txa
",0,Neutral
118,"penasaran banget eye serum originote
",3,Positive
119,"moisturizer lip serum originote harga hihi
",3,Positive
120,"halo serum originote exfo gratong
",1,Positive
121,"masker bang ngilangin komedo cerah kulit wajah masker murah bang
",7,Positive
122,"kak brs uang kann
",0,Neutral
123,"izin cushion originote jual salah shade iya
",-7,Negative
124,"informasi kreator golden tick skincare pakai up brand implora originote gtu dongg plss
",2,Positive
125,"aff iya kusem banget skincare pakai mari tunjuk st oily acne prone somethinc ph micellar water niveagarnier biru toner skin hyalura cica skin hyalura cica moist originotecosrx exfo avoskin retinol originote
",2,Positive
126,"coba retinol plis coba tipis tipis kulit aman cyyn moisturizer serum originote alternatif gengss garis garis halus kusem ngerasa tua
",2,Positive
127,"now watching ikut
",1,Positive
128,"pake originote bagus rontok
",-3,Negative
129,"kena m checkout wkwkwk
",0,Neutral
130,"coba topokki mujigae reng suka turut toeknya keras bumbu berat lidah coba merk mamasuka enak bgtbgtbgtt snack wonhae oke inti mah makan dine in mujigae kemas sesuai
",7,Positive
131,"originote bha charcoal clay mask masker wajah mud mask eksfoliasi angkat sel kulit mati hilang minyak lebih with charcoal bha
",2,Positive
132,"moisturizer originote hyalucera moisturizer best sejuk gilaa pagi pagi tu segar teruss korang letak mini fridge segar
",2,Positive
133,"gentong gin harga ribu murah banget kayak awet bulan cus beli live murah
",12,Positive
134,"pake originote paket gagal ngikutin
",-4,Negative
135,"urus orang banget ceratinol moist originote
",1,Positive
136,"originote instaperfect seharihari bagus kak
",0,Neutral
137,"aneh banget anjing masuk langsung jt pakai minus admin masuk kwkwkw
",-5,Negative
138,"cushion originote full coverage kakk saran ringan ringan ajahh
",1,Positive
139,"ohh iya iya pakai originote bii
",1,Positive
140,"halo kakak udah hasil tiket belumm
",4,Positive
141,"ceratinol originote kak mulus gitu kulit nyaa
",-1,Negative
142,"mbb kak reply gamasuk kak
",0,Neutral
143,"originote clay stick mask
",0,Neutral
144,"anjing apaa udah jam
",0,Neutral
145,"full text
",0,Neutral
146,"pakai micellar waternya originote banget pakai walopun ga mana double cleansing wajib
",5,Positive
147,"kulit minyak jerawat pakai moisturizer originote nder udah beli ampe jar tekstur enak banget kulit minyak lembab gk berat kulit adem banget efek ngurangin redness gk beruntus harga
",13,Positive
148,"double cleansing cari ukur gentong harga murce makan pilih micellar originote hyalurose micellar water
",3,Positive
149,"produk andal double cleansing originote hyalurose micellar water facial washnya andal banget harga affordable isi banget racuninskincare
",1,Positive
150,"qrt this with your kojie san micellar toner moist originote serum npure exfo lip care vaseline lip care rosy lips kangen skincarean banget
",2,Positive
151,"suka tipe pakai cleansing micellar water ringan lembab kulit daya angkat oke pakai micellar hyalurose originote puas banget pakeknya ukur super jumbo lembab bersih pori kulit
",13,Positive
152,"jog beli micellar water merk originote offline iya gitu terima kasih
",2,Positive
153,"haloo cah jual retinol b serum originote preloved minat rep yaa makas
",8,Positive
154,"kulit bersih debu kotor ga kepala satu mata pakai hyalurose micellar water originote as my cleanser emang andal banget launching before after
",-10,Negative
155,"beli originote tokped pakai voc status tokped barang terima nerima cek depan uang paket tetangga uang gmn no kurir komplen responnya lambat banget help
",0,Neutral
156,"originote top skeptis but turns out ngerawat banget kulit breakout hadap just readan mas crush udah pusing mikirin muka gadibales udah bulan pulak
",0,Neutral
157,"suka micellar water originote alat pump praktis harga affordable isi deep cleansing oke aman kulit sensitif acne prone skin jugaa
",3,Positive
158,"originote ngeluarin micellar water gede harga jangkau kantong feel so excited pliis size kalah kualitas is a good alternatif beli
",8,Positive
159,"serum vit c originote sisa langsung checkout free yaa
",2,Positive
160,"pakai ku pakai originote enakeun banget lembut kulit perih afternya kering
",-1,Negative
161,"jualaness ready sepatu aero ukur kotak dateng azaa moisturizer originote
",5,Positive
162,"pilih cleanser sesuai budget boros lately pakai micellar waternya originote isi harga affordable worried double cleansing abis bulan
",-2,Negative
163,"originote ini beneran endul bersihin pakai up bisaa
",4,Positive
164,"pakai now watching originote rasa banget ringan pagi nyaman ga kulit kering beneran sesuai daily skincare
",5,Positive
165,"moisturizer ini glow better originote selang seling pagi cosrx almost malam
",-5,Negative
166,"inimah originote angkat tangan
",4,Positive
167,"eiemggoriginote st combi bruntusan
",0,Neutral
168,"final review hyalurose micellar water originote suka banget harga super affordable alias micellar water gentong gede muka minus yaa emang bawa travelling berat
",0,Neutral
169,"serum azarine niacinamide bareng vitamin c originote work iya rutin sabar tahap
",3,Positive
170,"vit c kak originote oke ga yaah
",2,Positive
171,"micellar water originote kulit breakout kering deep cleansing sadar kulit bersih udah komedo ku wajib wajib bgtbgt double cleansing
",3,Positive
172,"lash brow serum originote lumayan ampuh bulu mata lebat gk perih berat mata enak pakai siangmalam efek minggu pakai harga sahabat beli
",7,Positive
173,"mah boncos engga pakai now watching kaya pakai ukur jumbo harga originote nama hyalurose micellar water cantik banget botol iya
",3,Positive
174,"gasie rumah ga pakai upan double cleansing cleansernya pakai now watching gentong originote ini pakai apaa
",6,Positive
175,"skintificc udah coba dua pricing wise originote
",1,Positive
176,"nder originote tekstur weterly gel gitu
",0,Neutral
177,"takut boros pakai st cleanser eiittss khawatir micellar water originote murah banget harga under ribu isi gentongg
",-9,Negative
178,"cica originote airin iya elformula jugaa masuk list
",-3,Negative
179,"rekomin micellar water originote daya angkat aman kulit sensitive normal to dry sensitive second cleansing pakai facial wash cari gentle tarik
",4,Positive
180,"umsfess micellar water originote ready dmn iya gaiss slain olshop pgn coba
",1,Positive
181,"rumah butuh deep cleansing malam pakai micellar water double cleansing micellar water originote beneran kulit bersih kusam menenagkan kulit harga affordable worth it poll
",4,Positive
182,"mampu angkat pakai up turut oke banget waterproof bersih pakai micellar water originote ngangkat debu oke banget beli iya banget nyaman bintang
",7,Positive
183,"iya ngecek tokped vaseline pure jelly huhuhu lip therapy mah beli kali suka gloss emina lip serum originote lip serum dear beauty hypergloss cleya tinted lip balm koklt pakai lokal
",4,Positive
184,"jujur originote sebenernya ga melembabkan banget ttp pakai toner super moisturizing
",0,Neutral
185,"promo ramadan diskon rp cek tokopedia diskon habis originote hyalucera moisturizer gel no bpom na netto krim wajah promotwt prom
",4,Positive
186,"originote hyalucera moisturizer gel moisturizer idola juta umat harga jangkau encang kulit milik hero ingredients hyaluronic acid ceramide chlorelina jenis kulit
",6,Positive
187,"originote hyalucera moisturizer cekit cekit muka melembabkan kayak ga efek kulit murah banget ribu gram sesuai krim kaki
",3,Positive
188,"rekomendasi pelembab wajah baik skin barrier jaga lembap remaja kulit originote hyalucera moisturizer racunskincare racunshopee shopeeaffiliate shopeeid
",2,Positive
189,"hyalucera moisturizer originote coba moisturizer originote harga affordable isi lumayan harga diskon ribu
",5,Positive
190,"moisturizer originote hyalucera beli fomo cari moist gel hyaluronic acidnya habis aman aman engga panasperih beli bgitu
",-1,Negative
191,"originote hyalucera bantu rawat skin barrier hidrasi kulit cegah tanda tua cicab shooting mois bantu rawat kulit jerawat lembap kulit
",-29,Negative
192,"pamelo originote hyalucera moisturizer gel pelembab wajah baik skin barrier primer menghi linknya iya
",1,Positive
193,"originote hyalucera moisturizer gel pelembab wajah baik skin
",5,Positive
194,"pamelo originote hyalucera moisturizer gel pelembab wajah baik skin barrier primer menghi gerak cepat selagi flashsale
",-2,Negative
195,"cek belia originote series hyalucera moisturizer barrier ceramide ga cicamide facial cleanser acne b serum astachiol serum ceratides serum in lash brow serum acne spot serum eye rp dapat shopee
",-6,Negative
196,"pamelo originote hyalucera moisturizer gel pelembab wajah baik skin barrier primer menghi checkout
",1,Positive
197,"cek originote hyalucera moisturizer gel pelembab wajah serum bright b serum acne b serum ceratides serum peeling serum astachiol brow eyelash serum toner sunscreen sunscreen mist
",-4,Negative
198,"cek originote cicab soothing moisturizer originote hyalucera moisterizer gel symwhite jelly booster ceratinol moisturizer harga rp dapat shopee
",-1,Negative
199,"originote hyalucera moisturizer gel pelembab wajah baik skin barrier primer hidrasi kulit wajah with hyaluronic acid ceramide harga rp dapat shopee
",4,Positive
200,"preloved skincare originote hyalucera moisturizer isi pakai x tipis jual kulit gacocok tekstur gel original buy at official shopee edisi maret idr sbykrian preloved
",-3,Negative
201,"moist hyalucera originote pakai prettywell asa muka ku semenjak pakai originote asa eonni eonni koriyah
",-2,Negative
202,"pakai pakai tub jenis watery gel kulit hydrate murah
",4,Positive
203,"originote hyalucera moisturizer gel pelembab wajah serum bright b serum acne b serum ceratides serum peeling serum astachiol brow eyelash serum toner sunscreen sunscreen mist harga rp dapat shopee
",3,Positive
204,"moist nder moist pakai originote hyalucera harga murcee bagus budget pakai moist somethninc tenang super moistt calming banget
",5,Positive
205,"cek originote hyalucera moisturizer gel pelembab wajah baik skin barrier primer hidrasi kulit wajah with hyaluronic acid ceramide harga rp dapat shopee
",0,Neutral
206,"originate enak banget sensasi dingin gitu emang bentuk gel lumayan nge calm merah sesuai nge calm jerawat emang ga kentara efek
",-4,Negative
207,"temu originote moisturizer hyalucera moisturizer gel cicab soothing moisturizer brightening moisturizer harga rp dapat shopee
",5,Positive
208,"honest review pribadi iya tekstur kental kaya gel warna bening bau khas gitu mudah pakai kulit cepat resap kulit lembab jujur kulit st normal to dry harga affordable banget isi
",-9,Negative
209,"yuk coba lihat nama produk originote hyalucera moisturizer gel pelembab wajah baik skin barrier hidrasi kulit with hyaluronic acid ceramide chlorelinabpom harga produk rp harga diskon rp
",27,Positive
210,"skin type oily face wash cosrx salicylic acid merah moisturizer originote hyalucera sunscreen skintific spray putih
",-1,Negative
211,"originate nder ga acnaway pakai bruntusan oke nder
",3,Positive
212,"say no more to salah pilih shade coba cushionnya originote filter coba barusan coba akurat shade pakai
",2,Positive
213,"ken banget coba cushion originote pusing ah shadenya banget galau milihnya eeitss tenang originote filter shade cushion bantu nentuin shade habis coba hasil akurat no more pusing no more galau
",2,Positive
214,"gweh swatches bingung gas pakai filter ig shay mudah hidup akurat kiri filter ig originote kanan hasil ril cushionnya
",-1,Negative
215,"beli cushion originote coba pakai filter merekaa ngebantu banget yh filter ginii
",4,Positive
216,"bingung pilih shade cushion originote sesuai pakai filter instagram originote asli filter mudah milih shade kulit
",4,Positive
217,"ukur fungsi tampil harga selisih banget terima kasih originote
",1,Positive
218,"originote micellar water my night routine suka alat tinggal pencet moisturizing deep cleansing gampang bersihin eye makeup complexion hihi no more makeup residue before going to bed lt
",-6,Negative
219,"shade cushion originote ngebingungin go coba filter ig tiktok seru helpful shade pakai pass
",-1,Negative
220,"stop galau milih shades cushion originote cocokin pakai filter mudah lhoo
",-2,Negative
221,"moots pakek produk originote
",3,Positive
222,"tiga originote range shadenya banget harga under finishnya suka velvet matte suka cushion inituh butuh skinprep ga kaya ga satu kulit cepat
",-6,Negative
223,"urut suka daily originote instaperfect somethinc hooman skintific
",2,Positive
224,"cleansing water pakai chanel rekomendasi allahu lex pakai originote ga boro boro chanel laneige kadang berfikir beli
",2,Positive
225,"habis langsung set pakai loose powder sebenernya cushion originote set pakai bedak aman since tipe velvet matte iya muka glowy banget pakein biasa makeupan bedak asa
",-1,Negative
226,"hasil makeup menit cushion originote bagus banget suka
",6,Positive
227,"originote lip oil serum tinggal
",-3,Negative
228,"wtb garnier micellar water originote micellar tawar
",-4,Negative
229,"originote terang neutral coverage medium to full ringan lambat flawless glowing oksidasi ga beda transfer wajib set pakai bedak shadenya bingung
",4,Positive
230,"nextnya langsung pakai cushion pakai originote banget cover bekas jerawat dark circle pertama taptap produk muka ratain taptap hasil halus
",12,Positive
231,"kakk shade cushion originote kirakira sesuai akuu nihh teman bingung originote ngeluarin filter cushion originote salah pilih shade cek beneran sesuai iya shadesnya
",-8,Negative
232,"originote coverage mantulita oksidasi harga murceuu packaging kokoh skincare infused hydrating shade puff empuk bentuk suka
",5,Positive
233,"bintang mba spg makeup lues tanyain moist originote ulatane rapenak tenan bada org beli makeup beli guardian aja
",3,Positive
234,"sial moist originote checkout harga
",-2,Negative
235,"coba cica b shooting mois originote
",1,Positive
236,"kak now watching originote
",0,Neutral
237,"sumpah perih banget pakai micellar water originate
",-5,Negative
238,"list kado kasih kahf sabun cuci muka originote ganci case hp baju
",3,Positive
239,"bisikin dasar alam informasi oily skin seoily originote moisturizer pakai produk cinta ringan mudah serap murah
",8,Positive
240,"emang originote ga siksa kulit
",-5,Negative
241,"serum originote acne bau sirup melon weh
",-4,Negative
242,"toner originote ready kak
",0,Neutral
243,"emang iya originote
",0,Neutral
244,"originote murah engga teman
",2,Positive
245,"in other side hasil remove makeup pakai micellar water sea makeup bersih kaya originote struggle mata susah hilang
",-2,Negative
246,"bagus micellar facetolgy originote yh
",0,Neutral
247,"skintypeku normal to dry yak micellar waternya originote sesuai all skin type sensitive skin daya bersih oke banget bersihin lipstick matte glasting liquid lip oke banget
",6,Positive
248,"originote kpcs codanter kos yak jualaness
",0,Neutral
249,"originote sunscreen ybg spray
",0,Neutral
250,"facewash originote pakai kali mas banget dom medan
",2,Positive
251,"nder originote ga
",0,Neutral
252,"originote bagus teman teman saran skincare emang bagus woi originote skincare originote ditesti enak rekomendasiin
",1,Positive
253,"butuh honest review serum hyalu c originote elsheskin pengaruh iya mula
",-10,Negative
254,"originote moist murah banget
",3,Positive
255,"originote bagus
",0,Neutral
256,"ganti mosturizer originote kulit
",-3,Negative
257,"diendors originote
",0,Neutral
258,"originote barrier kit ori bareng beli ofc store shopee bukti foto jual rugi harga asli kali pakai ga bohong alas jual gacocok muncul beruntus theoriginote originote barrierkit
",-5,Negative
259,"serum bicara orang rivewannya positif originote dayc nighta bundle pcs hyaluc serum retinol serum dapat shopee serum skincare originote aekaja lupinnetflix leotrailerday loki viop
",4,Positive
260,"wtb jual originote hyalureca moist moisturizer dom semarang ori segel wtb originote moist
",1,Positive
261,"originote acne b serum rp kondisi segel jual katena salah beli dom jatim wtsskincare originote serum
",-2,Negative
262,"originote barrier kit ori no tipu beli official store shopee langsung bareng cek poto jual rugi harga asli pakai kali ga bohong alesan jual ga sesuai timbul bruntusan wtsoriginote theoriginote originote
",-9,Negative
263,"moisturizer juara kayak harga lawan theoriginote originotemoisturizer originote skincare
",1,Positive
264,"nama produk originote bundle pcs hyalucera moisturizer hyaluronic acid ceramide with chlorelina harga produk rp harga diskon rp originote promo diskon
",19,Positive
265,"wtb skincare teman jual originote harga kproduk ga req link shopee gratis ongkos kirim kokk yaa original ofkorss wtb skincare makeup makeupmurah skincaremurah theoriginotemurah theoriginote originote
",6,Positive
266,"temu cantik alam murni originote dapat tawar eksklusif harga istimewa kunjung link affiliasi pilih produk favorit originote kecantikanalami awat wajah skincare shopeeid
",6,Positive
267,"kulit kering lupa originote bundle pcs hyalucera moisturizer hadir hyaluronic acid ceramide chlorelina harga normal rp diskon heboh rp dapat skincare originote moisturizer diskon
",4,Positive
268,"to jual serum originote bright b isi mas liat slide jual ga sesuai originote preloved skincare wtb
",-5,Negative
269,"lihat kann ga pakai habis pakai lip oil serum super lembab ringan banget ga lengket suka aromayaa theoriginote originote lipoilserum
",6,Positive
270,"skincare originote tiktok paket skincare in originote kpan ribu produk
",5,Positive
271,"ayo coba originote bagus lho beneran muka cerah sehat beli x link honest review cek originote skincare racunskincare jerawat skincareproducts
",6,Positive
272,"emang originote moist bagus note tipe sensitif kombinasi beli beli takut ga sesuai originote skincare
",-2,Negative
273,"nama produk originote hyalurose micellar water bersih wajah makeup remover cleansing water melembabkan wajah with hyaluronic acid harga produk rp harga diskon rp originote promo
",17,Positive
274,"rban dapetin sunscreen bagus tube ngomong-ngomong beli iya sunscreen sunscreenoriginote originote racunsunscreen sunscreenreview racunshopee racunskincare
",1,Positive
275,"originote ceramella sunscreen spf pa serum sunscreen skin barrier protect lindung sinar matahari with ceramide vitamin c rp originote shopeeid promo
",4,Positive
276,"originote official shop diskon up to ribu minimal belanja pakai kode glowdl belanja skincare beauty makeup kosmetik glowing viral promo originote
",-6,Negative
277,"originote hyalurose micellar water bersih wajah pakai up remover cleansing water melembabkan wajah with hyaluronic acid originote micellarwater cleansingwater makeupremover skincareproducts
",1,Positive
278,"nemu promo tarik lazada yuk coba lihat nama produk special bundle in originote moisturizer serum payday sale harga produk rp harga diskon rp
",29,Positive
279,"originote official shop hemat belanja skincare originote official promo bebas ongkos kirim buru cek promo tokopedia shopee skincare beauty makeup kosmetik glowing viral originote
",-5,Negative
280,"christmas skincare originote jerawat mengatasijerawat moisturizer hyalucera moisturizer pelembab wajah sesuai jenis kulit bagus hidrasi kulit wajah bantu sembuh breakout yuuk dicheck out say
",1,Positive
281,"coba cek originote cicab soothing moisturizer rp toko originote official shop tokopedia bebas ongkos kirim lho originote theoriginote breakout skincare
",-1,Negative
282,"informasi bagi produk skincare ramai banget nihh harga jangkau originote
",0,Neutral
283,"hai teman suka produk originote pakai high cover serum cushion buru checkout teman theoriginote cushion beautycare makeup highcoverserumcushion originote shopee promo
",12,Positive
284,"wow hadir filter pilih shade cushion originote bantu banget coba cushion originote bingung pilih shadenya langsung cuss ig
",6,Positive
285,"cushion orijinot bagus shadenya miripmirip bingung nihh filter shade finder cari shade cushion originote match skintone
",-5,Negative
286,"begadang lambat bangun lupa apus makeup pdhl micellar water originote super honestly bagus banget bersihin makeupku blush on dempul susah banget bersihin
",-14,Negative
287,"teman all shades originote cushion penasaran tunjukin
",2,Positive
288,"originote mudah bingung pilih shade cushion khawatir salah shade filter this shades finder by originote
",-6,Negative
289,"suruh milih tim originote tim sea makeup
",-1,Negative
290,"bingung beli cushion kasih battle cushion lokal bagus normal to oily skin originote x true to skin x instaperfect review jujur sesuai pakai kulit lupa bookmark yaa referensi
",0,Neutral
291,"hasil bulan pakai retinooll terima kasih originote bekas bekas jrawat gwe pudar
",1,Positive
292,"beli cushion originote udah lihat swatch tang bingung chill filter iya filter bingung pilih shades langsung coba pake filter shades originote instagram teman
",11,Positive
293,"originote high cover serum cushion shock banget cushion shock hasilnyaa cakeepp banget akuu cushion under reviewbynurqalbi makeupbynurqalbi racuninmakeup
",5,Positive
294,"iseng coba filter cushion originote shade pakai sesuai liat filter ehh udah udah filter solusi bingung pilih shade akuratt filter
",2,Positive
295,"pakai theoriginote enak ga perih wangi
",5,Positive
296,"ehh cushion originote filter ig masaa terang undertonenya jugaak gampang nentuin shade sesuai
",-1,Negative
297,"teman peeling serum originote guna bilas kaya pakai serum iya
",-1,Negative
298,"originote micellar water bagus banget hapus makeup wangi harum isi pol awet harga jangkau sesuai jenis kulit
",8,Positive
299,"thing lebih cushion originote coveragenya mantap ttp rasa ringan sesuai banget daily puasa gin muka kering hasil wajah flawless ga dempul
",7,Positive
300,"originote brand
",0,Neutral
301,"pakai originote sea makeup bingung pakai bareng beda mana
",-2,Negative
302,"bagus moist theoriginote gldglw bingung
",1,Positive
303,"mu gaes preloved originote full pakai x dom pontianak iya
",1,Positive
304,"last tahap moisturizer acne prone skin banyqk redness wajah pakai moist originote cica calming ringan banget kena kulit langsung adem loo ga lengket pasti murcee iya shay
",4,Positive
305,"originote cushion under bagus banget iya kulit oily cepat longsor minyak tekstur lightweight sesuai daily
",-3,Negative
