full_text,Text Case Folding,Text Tokenizing,Text Fill,Text Normalization,Text Stemming,Text Filtering
gue abis exfo td pake clay masknya the originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']",saya habis exfo tadi pakai clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['saya', 'habis', 'exfo', 'tadi', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['habis', 'exfo', 'pakai', 'clay', 'masknya', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']"
micellar water originote enak parah woy mana gede ,micellar water originote enak parah woy mana gede,"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']",micellar water originote enak parah woy mana gede,"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'gede']"
Lanzuut aku pake cream blush buat blush dalem. Pilih yang warnanya peach pink gini biar muka lebih seger. Pakenya tipis aja dulu kalo kurang baru build lagi~ Btw cushion The Originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu! https://t.co/e0WKu3aRcx,lanzuut aku pake cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis aja dulu kalo kurang baru build lagi btw cushion the originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu,"['lanzuut', 'aku', 'pakai', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warnanya', 'peach', 'pink', 'gini', 'biar', 'muka', 'lebih', 'seger', 'pakenya', 'tipis', 'saja', 'dulu', 'kalau', 'kurang', 'baru', 'build', 'lagi', 'ngomong-ngomong', 'cushion', 'the', 'originote', 'ditimpa', 'cream', 'product', 'di', 'atasnya', 'pun', 'dia', 'gak', 'geser', 'sama', 'sekali', 'gak', 'yang', 'jadi', 'keangkat', 'gituu']",lanzuut aku pakai cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis saja dulu kalau kurang baru build lagi ngomong-ngomong cushion the originote ditimpa cream product di atasnya pun dia gak geser sama sekali gak yang jadi keangkat gituu,"['lanzuut', 'aku', 'pakai', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warnanya', 'peach', 'pink', 'begini', 'biar', 'muka', 'lebih', 'segar', 'pakenya', 'tipis', 'saja', 'dulu', 'kalau', 'kurang', 'baru', 'build', 'lagi', 'ngomong-ngomong', 'cushion', 'the', 'originote', 'ditimpa', 'cream', 'product', 'di', 'atasnya', 'pun', 'dia', 'enggak', 'geser', 'sama', 'sekali', 'enggak', 'yang', 'jadi', 'keangkat', 'begitu']","['lanzuut', 'aku', 'pakai', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warna', 'peach', 'pink', 'begini', 'biar', 'muka', 'lebih', 'segar', 'pakenya', 'tipis', 'saja', 'dulu', 'kalau', 'kurang', 'baru', 'build', 'lagi', 'ngomong-ngomong', 'cushion', 'the', 'originote', 'timpa', 'cream', 'product', 'di', 'atas', 'pun', 'dia', 'enggak', 'geser', 'sama', 'sekali', 'enggak', 'yang', 'jadi', 'angkat', 'begitu']","['lanzuut', 'pakai', 'cream', 'blush', 'blush', 'dalem', 'pilih', 'warna', 'peach', 'pink', 'muka', 'segar', 'pakenya', 'tipis', 'build', 'ngomong-ngomong', 'cushion', 'originote', 'timpa', 'cream', 'product', 'geser', 'angkat']"
Photoism ni originate dari Korea. Harga negara asal diorang pun baru 7k won. Klu convert dlm RM24.80. ni harga negara lain klu converted into Malaysian Ringgit. Bapak la jauh gila beza nak cekik darah user ke apa ? Bawak masuk Malaysia igt nk supplykan demand tapi cehhhh https://t.co/onz1G9orSn,photoism ni originate dari korea harga negara asal diorang pun baru won klu convert dlm rm ni harga negara lain klu converted into malaysian ringgit bapak la jauh gila beza nak cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehhhh,"['photoism', 'ini', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'diorang', 'pun', 'baru', 'won', 'klu', 'convert', 'dlm', 'rm', 'ini', 'harga', 'negara', 'lain', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'lah', 'jauh', 'gila', 'beza', 'mau', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']",photoism ini originate dari korea harga negara asal diorang pun baru won klu convert dlm rm ini harga negara lain klu converted into malaysian ringgit bapak lah jauh gila beza mau cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehhhh,"['photoism', 'ini', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'diorang', 'pun', 'baru', 'won', 'kalau', 'convert', 'dalam', 'rm', 'ini', 'harga', 'negara', 'lain', 'kalau', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'lah', 'jauh', 'gila', 'beza', 'mau', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawa', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']","['photoism', 'ini', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'orang', 'pun', 'baru', 'won', 'kalau', 'convert', 'dalam', 'rm', 'ini', 'harga', 'negara', 'lain', 'kalau', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'lah', 'jauh', 'gila', 'beza', 'mau', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawa', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']","['photoism', 'originate', 'korea', 'harga', 'negara', 'orang', 'won', 'convert', 'rm', 'harga', 'negara', 'converted', 'into', 'malaysian', 'ringgit', 'gila', 'beza', 'cekik', 'darah', 'user', 'bawa', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'cehhhh']"
test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep? trs the only cream blush lokal yg bnr2 tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya https://t.co/o98CypwrLA,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya,"['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'bahkan', 'nambah', 'cakep', 'terus', 'the', 'only', 'cream', 'blush', 'lokal', 'yang', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']",test wear cushion originote valid emang bagus makin sore bukannya kusam bahkan nambah cakep terus the only cream blush lokal yang bnr tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya,"['test', 'wear', 'cushion', 'originote', 'valid', 'memang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'bahkan', 'bertambah', 'cakep', 'terus', 'the', 'only', 'cream', 'blush', 'lokal', 'yang', 'benar', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'memang', 'bagus', 'makin', 'sore', 'bukan', 'kusam', 'bahkan', 'tambah', 'cakep', 'terus', 'the', 'only', 'cream', 'blush', 'lokal', 'yang', 'benar', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'jauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'bagus', 'sore', 'kusam', 'cakep', 'only', 'cream', 'blush', 'lokal', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'mop']"
step 1 pake compexion! ak pake cushion the originote‍️ ini coveragenya mantep banget kebetulan aku lagi ada beberapa PIH makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah.. blendnya pelan2 aja dia gampang ko ga ngeblok.. sabar aja ngeblendnya jgn buru2 https://t.co/NUDo9H82y0,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,"['step', 'pakai', 'compexion', 'saya', 'pakai', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantap', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pakai', 'inii', 'soalnya', 'one', 'tap', 'sudah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'saja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'saja', 'ngeblendnya', 'jangan', 'buru']",step pakai compexion saya pakai cushion the originote ini coveragenya mantap banget kebetulan aku lagi ada beberapa pih makanya cocok banget pakai inii soalnya one tap sudah cover seluruh wajah blendnya pelan saja dia gampang ko ga ngeblok sabar saja ngeblendnya jangan buru,"['step', 'pakai', 'compexion', 'saya', 'pakai', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantap', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pakai', 'ini', 'soalnya', 'one', 'tap', 'sudah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'saja', 'dia', 'gampang', 'kok', 'enggak', 'ngeblok', 'sabar', 'saja', 'ngeblendnya', 'jangan', 'buru']","['step', 'pakai', 'compexion', 'saya', 'pakai', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantap', 'banget', 'betul', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pakai', 'ini', 'soal', 'one', 'tap', 'sudah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'saja', 'dia', 'gampang', 'kok', 'enggak', 'ngeblok', 'sabar', 'saja', 'ngeblendnya', 'jangan', 'buru']","['step', 'pakai', 'compexion', 'pakai', 'cushion', 'originote', 'coveragenya', 'mantap', 'banget', 'pih', 'cocok', 'banget', 'pakai', 'one', 'tap', 'cover', 'wajah', 'blendnya', 'pelan', 'gampang', 'ngeblok', 'sabar', 'ngeblendnya', 'buru']"
 untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja. the originote sea makeup https://t.co/WiwWkpSQ9L,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,"['untuk', 'kedua', 'now', 'watching', 'ini', 'dari', 'segi', 'remover', 'kalau', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalau', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'iya', 'better', 'kalau', 'mau', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'saja', 'the', 'originote', 'sea', 'makeup']",untuk kedua now watching ini dari segi remover kalau eyeliner bisa keangkat tapi kalau untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal iya better kalau mau bersihin maskara pakai oil base saja the originote sea makeup,"['untuk', 'kedua', 'now', 'watching', 'ini', 'dari', 'segi', 'remover', 'kalau', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalau', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'iya', 'better', 'kalau', 'mau', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'saja', 'the', 'originote', 'sea', 'makeup']","['untuk', 'dua', 'now', 'watching', 'ini', 'dari', 'segi', 'remover', 'kalau', 'eyeliner', 'bisa', 'angkat', 'tapi', 'kalau', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'turut', 'itu', 'normal', 'iya', 'better', 'kalau', 'mau', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'saja', 'the', 'originote', 'sea', 'makeup']","['now', 'watching', 'segi', 'remover', 'eyeliner', 'angkat', 'maskara', 'waterproof', 'sisa', 'sisa', 'normal', 'iya', 'better', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'originote', 'sea', 'makeup']"
Wts Preloved The Originote Cushion Harga 55k Shade : Light Warm Alasan jual karena salah shade baru dipake dua tap-tap buat semuka. Link oren https://t.co/EVCuzoTsGw Ada shopee video cari aja di profilku. #zonajajan #zonaBA #zonaBU #zonauang https://t.co/oavKqDy8WY,wts preloved the originote cushion harga shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku,"['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'saja', 'di', 'profilku']",wts preloved the originote cushion harga shade terang warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari saja di profilku,"['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipakai', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'saja', 'di', 'profilku']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alas', 'jual', 'karena', 'salah', 'shade', 'baru', 'pakai', 'dua', 'taptap', 'buat', 'muka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'saja', 'di', 'profil']","['preloved', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alas', 'jual', 'salah', 'shade', 'pakai', 'taptap', 'muka', 'link', 'oren', 'shopee', 'video', 'cari', 'profil']"
[PRELOVED] the Originote: Toner Serum Moisturizer Lip Oil Serum NEGOTIABLE Tembalang Semarang Jawa Tengah https://t.co/INwQY4JI8d https://t.co/GEuuqm3Ooq,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,"['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']",preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,"['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa']"
ORIGINOTE SEMOGA ELU KAGA DRAMA ,originote semoga elu kaga drama,"['originote', 'semoga', 'kamu', 'tidak', 'drama']",originote semoga kamu tidak drama,"['originote', 'semoga', 'kamu', 'tidak', 'drama']","['originote', 'moga', 'kamu', 'tidak', 'drama']","['originote', 'moga', 'drama']"
sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,"['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']",sunscreen originote bagus banget ngurangin bruntusan,"['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']"
Sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener2 nyiksa bgtttt,sunscreen spraynya originote perih bgt di mata anj seharian mata berair krn perih apalagi pas td lg kelas bener nyiksa bgtttt,"['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'di', 'mata', 'anj', 'seharian', 'mata', 'berair', 'karena', 'perih', 'apalagi', 'pas', 'tadi', 'lagi', 'kelas', 'benar', 'nyiksa', 'bgtttt']",sunscreen spraynya originote perih banget di mata anj seharian mata berair karena perih apalagi pas tadi lagi kelas benar nyiksa bgtttt,"['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'di', 'mata', 'anjing', 'seharian', 'mata', 'berair', 'karena', 'perih', 'apalagi', 'pas', 'tadi', 'lagi', 'kelas', 'benar', 'nyiksa', 'banget']","['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'di', 'mata', 'anjing', 'hari', 'mata', 'air', 'karena', 'perih', 'apalagi', 'pas', 'tadi', 'lagi', 'kelas', 'benar', 'nyiksa', 'banget']","['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'mata', 'anjing', 'mata', 'air', 'perih', 'pas', 'kelas', 'nyiksa', 'banget']"
