full_text,Text Case Folding,Text Tokenizing,Text Normalization,Text Stemming,Text Filtering
gue abis exfo td pake clay masknya the originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['gue', 'abis', 'exfo', 'td', 'pake', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['gue', 'abis', 'exfo', 'td', 'pake', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['gue', 'abis', 'exfo', 'td', 'pake', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']","['gue', 'abis', 'exfo', 'td', 'pake', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']"
micellar water originote enak parah woy mana gede ,micellar water originote enak parah woy mana gede,"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'mana', 'gede']","['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'gede']"
Lanzuut aku pake cream blush buat blush dalem. Pilih yang warnanya peach pink gini biar muka lebih seger. Pakenya tipis aja dulu kalo kurang baru build lagi~ Btw cushion The Originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu! https://t.co/e0WKu3aRcx,lanzuut aku pake cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis aja dulu kalo kurang baru build lagi btw cushion the originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu,"['lanzuut', 'aku', 'pake', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warnanya', 'peach', 'pink', 'gini', 'biar', 'muka', 'lebih', 'seger', 'pakenya', 'tipis', 'aja', 'dulu', 'kalo', 'kurang', 'baru', 'build', 'lagi', 'btw', 'cushion', 'the', 'originote', 'ditimpa', 'cream', 'product', 'di', 'atasnya', 'pun', 'dia', 'gak', 'geser', 'samsek', 'gak', 'yang', 'jadi', 'keangkat', 'gituu']","['lanzuut', 'aku', 'pake', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warnanya', 'peach', 'pink', 'gini', 'biar', 'muka', 'lebih', 'seger', 'pakenya', 'tipis', 'aja', 'dulu', 'kalo', 'kurang', 'baru', 'build', 'lagi', 'btw', 'cushion', 'the', 'originote', 'ditimpa', 'cream', 'product', 'di', 'atasnya', 'pun', 'dia', 'gak', 'geser', 'samsek', 'gak', 'yang', 'jadi', 'keangkat', 'gituu']","['lanzuut', 'aku', 'pake', 'cream', 'blush', 'buat', 'blush', 'dalem', 'pilih', 'yang', 'warna', 'peach', 'pink', 'gin', 'biar', 'muka', 'lebih', 'seger', 'pakenya', 'tipis', 'aja', 'dulu', 'kalo', 'kurang', 'baru', 'build', 'lagi', 'btw', 'cushion', 'the', 'originote', 'timpa', 'cream', 'product', 'di', 'atas', 'pun', 'dia', 'gak', 'geser', 'samsek', 'gak', 'yang', 'jadi', 'angkat', 'gituu']","['lanzuut', 'pake', 'cream', 'blush', 'blush', 'dalem', 'pilih', 'warna', 'peach', 'pink', 'gin', 'muka', 'seger', 'pakenya', 'tipis', 'build', 'cushion', 'the', 'originote', 'timpa', 'cream', 'product', 'geser', 'samsek', 'angkat', 'gituu']"
Photoism ni originate dari Korea. Harga negara asal diorang pun baru 7k won. Klu convert dlm RM24.80. ni harga negara lain klu converted into Malaysian Ringgit. Bapak la jauh gila beza nak cekik darah user ke apa ? Bawak masuk Malaysia igt nk supplykan demand tapi cehhhh https://t.co/onz1G9orSn,photoism ni originate dari korea harga negara asal diorang pun baru  won klu convert dlm rm ni harga negara lain klu converted into malaysian ringgit bapak la jauh gila beza nak cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehhhh,"['photoism', 'ni', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'diorang', 'pun', 'baru', 'won', 'klu', 'convert', 'dlm', 'rm', 'ni', 'harga', 'negara', 'lain', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'la', 'jauh', 'gila', 'beza', 'nak', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']","['photoism', 'ni', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'diorang', 'pun', 'baru', 'won', 'klu', 'convert', 'dlm', 'rm', 'ni', 'harga', 'negara', 'lain', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'la', 'jauh', 'gila', 'beza', 'nak', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']","['photoism', 'ni', 'originate', 'dari', 'korea', 'harga', 'negara', 'asal', 'orang', 'pun', 'baru', 'won', 'klu', 'convert', 'dlm', 'rm', 'ni', 'harga', 'negara', 'lain', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'bapak', 'la', 'jauh', 'gila', 'beza', 'nak', 'cekik', 'darah', 'user', 'ke', 'apa', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'tapi', 'cehhhh']","['photoism', 'ni', 'originate', 'korea', 'harga', 'negara', 'orang', 'won', 'klu', 'convert', 'dlm', 'rm', 'ni', 'harga', 'negara', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'la', 'gila', 'beza', 'nak', 'cekik', 'darah', 'user', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'cehhhh']"
test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep? trs the only cream blush lokal yg bnr2 tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya https://t.co/o98CypwrLA,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya,"['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukannya', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'sejauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'makin', 'sore', 'bukan', 'kusam', 'malah', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'yg', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'itu', 'jauh', 'ini', 'cuma', 'mop', 'punya']","['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'sore', 'kusam', 'nambah', 'cakep', 'trs', 'the', 'only', 'cream', 'blush', 'lokal', 'bnr', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'mop']"
step 1 pake compexion! ak pake cushion the originote‍️ ini coveragenya mantep banget kebetulan aku lagi ada beberapa PIH makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah.. blendnya pelan2 aja dia gampang ko ga ngeblok.. sabar aja ngeblendnya jgn buru2 https://t.co/NUDo9H82y0,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,"['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'inii', 'soalnya', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'kebetulan', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'inii', 'soalnya', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'ini', 'coveragenya', 'mantep', 'banget', 'betul', 'aku', 'lagi', 'ada', 'beberapa', 'pih', 'makanya', 'cocok', 'banget', 'pake', 'ini', 'soal', 'one', 'tap', 'udah', 'cover', 'seluruh', 'wajah', 'blendnya', 'pelan', 'aja', 'dia', 'gampang', 'ko', 'ga', 'ngeblok', 'sabar', 'aja', 'ngeblendnya', 'jgn', 'buru']","['step', 'pake', 'compexion', 'ak', 'pake', 'cushion', 'the', 'originote', 'coveragenya', 'mantep', 'banget', 'pih', 'cocok', 'banget', 'pake', 'one', 'tap', 'udah', 'cover', 'wajah', 'blendnya', 'pelan', 'gampang', 'ko', 'ngeblok', 'sabar', 'ngeblendnya', 'buru']"
 untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja. the originote sea makeup https://t.co/WiwWkpSQ9L,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,"['untuk', 'kedua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['untuk', 'kedua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'keangkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'menurutku', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['untuk', 'dua', 'mw', 'ini', 'dari', 'segi', 'remover', 'kalo', 'eyeliner', 'bisa', 'angkat', 'tapi', 'kalo', 'untuk', 'maskara', 'waterproof', 'masih', 'ada', 'sisa', 'sisa', 'sedikit', 'dan', 'turut', 'itu', 'normal', 'ya', 'better', 'kalo', 'mau', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'aja', 'the', 'originote', 'sea', 'makeup']","['mw', 'segi', 'remover', 'eyeliner', 'angkat', 'maskara', 'waterproof', 'sisa', 'sisa', 'normal', 'better', 'bersihin', 'maskara', 'pake', 'oil', 'base', 'the', 'originote', 'sea', 'makeup']"
Wts Preloved The Originote Cushion Harga 55k Shade : Light Warm Alasan jual karena salah shade baru dipake dua tap-tap buat semuka. Link oren https://t.co/EVCuzoTsGw Ada shopee video cari aja di profilku. #zonajajan #zonaBA #zonaBU #zonauang https://t.co/oavKqDy8WY,wts preloved the originote cushion harga  shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku,"['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profilku']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alasan', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'semuka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profilku']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alas', 'jual', 'karena', 'salah', 'shade', 'baru', 'dipake', 'dua', 'taptap', 'buat', 'muka', 'link', 'oren', 'ada', 'shopee', 'video', 'cari', 'aja', 'di', 'profil']","['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'light', 'warm', 'alas', 'jual', 'salah', 'shade', 'dipake', 'taptap', 'muka', 'link', 'oren', 'shopee', 'video', 'cari', 'profil']"
[PRELOVED] the Originote: Toner Serum Moisturizer Lip Oil Serum NEGOTIABLE Tembalang Semarang Jawa Tengah https://t.co/INwQY4JI8d https://t.co/GEuuqm3Ooq,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,"['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa', 'tengah']","['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa']"
ORIGINOTE SEMOGA ELU KAGA DRAMA ,originote semoga elu kaga drama,"['originote', 'semoga', 'elu', 'kaga', 'drama']","['originote', 'semoga', 'elu', 'kaga', 'drama']","['originote', 'moga', 'elu', 'kaga', 'drama']","['originote', 'moga', 'elu', 'kaga', 'drama']"
sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,"['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']","['sunscreen', 'originote', 'bagus', 'bgt', 'ngurangin', 'bruntusan']"
Sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener2 nyiksa bgtttt,sunscreen spraynya originote perih bgt di mata anj seharian mata  berair krn perih apalagi pas td lg kelas bener nyiksa bgtttt,"['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'seharian', 'mata', 'berair', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'seharian', 'mata', 'berair', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'di', 'mata', 'anj', 'hari', 'mata', 'air', 'krn', 'perih', 'apalagi', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']","['sunscreen', 'spraynya', 'originote', 'perih', 'bgt', 'mata', 'anj', 'mata', 'air', 'perih', 'pas', 'td', 'lg', 'kelas', 'bener', 'nyiksa', 'bgtttt']"
Mayan sekale pas bgt stock abis hehe tadi fs jam 12 keknya masih fs the originote df https://t.co/WWmOozG41K,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,"['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'keknya', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'keknya', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'hehe', 'tadi', 'fs', 'jam', 'kek', 'masih', 'fs', 'the', 'originote', 'df']","['mayan', 'sekale', 'pas', 'bgt', 'stock', 'abis', 'fs', 'jam', 'kek', 'fs', 'the', 'originote', 'df']"
Ngiler cushion originote wkwk,ngiler cushion originote wkwk,"['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']","['ngiler', 'cushion', 'originote', 'wkwk']"
selasa 19 maret 2024 1 paket shopee + 1 reseller alhamdulillah https://t.co/tLA1w4Sjqn,selasa maret paket shopee reseller alhamdulillah,"['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']","['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']","['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']","['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']"
shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote bagus bgt untuk first impression,"['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'untuk', 'first', 'impression']","['shocked', 'bgt', 'cushion', 'the', 'originote', 'bagus', 'bgt', 'first', 'impression']"
